㐀 qiu1
㒰 quan2
㒲 cai2
㒳 liang3
㒴 gu3
㒵 mao4
㒷 gua3 xing4 xu3
㒸 sui4 xuan2
㒻 mao4
㒼 man2
㒾 shi4
㒿 li2 li4
㓁 wang3
㓂 kou4
㓃 chui2 du4 zha4
㓄 zhen4
㓈 bing4 bei4 fei4 ye4
㓉 huan4 huo2 huo4
㓊 dong4
㓋 gong4
㓎 lian2 qin3 qin4
㓏 jiong3
㓐 lu4
㓑 xing4
㓓 nan2
㓔 xie4
㓖 bi4 bie2
㓗 jie2 qi3
㓘 su4
㓜 you4
㓝 xing2
㓞 qi4 qia4 yao2
㓠 dian4
㓡 fu3
㓢 luo4
㓣 qia4
㓤 jie2 qia4
㓧 yan3
㓨 ci2 ci4
㓪 lang3
㓭 he2
㓯 li2
㓰 hua4
㓱 tou2
㓲 pian4
㓴 jun4 ruan3
㓵 e4
㓶 qie4
㓷 yi4
㓸 jue2 zhuo2
㓹 rui4
㓺 jian4
㓼 chi4 chong4
㓽 chong2
㓾 chi2
㔀 lve4 qing2
㔂 lin2
㔃 jue2 pi4
㔄 su4
㔅 xiao4
㔆 chan2
㔉 zhu2
㔊 dan3
㔋 jian4 lan2 lan4
㔌 zhou4
㔍 duo3 zha2
㔎 xie4 yi4
㔏 li4
㔑 chi4 dao4 qi4 shui4
㔒 xi2
㔓 jian3 xian4
㔕 ji2 yi4
㔗 fei4
㔘 chu4
㔙 bang3 peng2
㔚 kou3
㔜 ba2 bo2
㔝 liang3
㔞 kuai4 kuang4 wang4
㔠 he2 jia2
㔢 jue2
㔣 lei2 lei4
㔤 shen3
㔥 pi2
㔦 yang3
㔧 lv4 xue4
㔨 bei4
㔩 e4
㔪 lu3
㔭 che4 chi2 yi2
㔮 nuo2
㔯 suan3 xuan2
㔰 heng2
㔱 yu3
㔳 gui3 gun4 huan2 jue2
㔴 yi4
㔵 xian4 xuan3
㔶 gong4
㔷 lou4
㔹 le4
㔺 shi4
㔼 sun3
㔽 yao4 you3
㔾 jie2
㔿 zou4
㕁 que4
㕂 yin2
㕄 zhi4
㕅 jia3
㕆 hu4
㕇 la2
㕈 hou4 yi3
㕉 ke4
㕋 jing4 qin2
㕌 ai4
㕎 e4 ke4 kun3
㕏 chu2
㕐 xie3
㕑 chu2
㕒 wei2 wei3
㕕 huan4
㕖 su4
㕗 you4
㕙 jun4 rui4
㕚 zhao3
㕛 xu4 you3 you4
㕜 shi3
㕟 kui4
㕡 he2 he4 huo4
㕢 gai4 hai4 ju4 lun3 nou3
㕣 yan3 yan4
㕤 qiu2
㕥 yi3
㕦 hua4
㕨 fan4
㕩 zhang4
㕪 dan3
㕫 fang3
㕬 song4
㕭 ao4 bi4
㕮 fu3 tiao4
㕯 nei4
㕰 he4
㕱 you2
㕲 hua2 ying2
㕴 chen2
㕵 guo2 hun2 luo3
㕶 ng4
㕷 hua4
㕸 li4
㕹 fa2
㕺 hao2
㕻 pou3 tou4
㕽 si4
㖀 le4 luo4
㖁 lin4
㖂 yi4
㖃 hou3
㖅 xu4
㖆 qu2 qu3
㖇 er2
㖏 nei4
㖐 wei3
㖑 xie4
㖒 ti2
㖓 hong2
㖔 tun3
㖕 bo4 nie4
㖖 nie4
㖗 yin2
㖞 wai1
㖟 shou4
㖠 ba4 nuo4
㖡 ye4
㖢 ji2 qi2
㖣 tou4
㖤 han2
㖥 jiong3
㖦 dong3
㖧 wen3
㖨 lu4
㖩 sou3
㖪 guo2
㖫 ling2
㖭 tian3
㖮 lun2
㖶 ye4
㖷 shi2 ti2
㖸 xue2
㖹 fen4
㖺 chun3
㖻 rou2
㖼 duo3 lin2 mou2
㖽 ze2 zei2
㖾 e4
㖿 xie2
㗁 e4
㗂 sheng3
㗃 wen3 yin4
㗄 man2 man4
㗅 hu2
㗆 ge2 kai4
㗇 xia2
㗈 man4
㗉 bi4 e4 lve4
㗊 ji2
㗋 hou2
㗌 zhi4
㗑 bai4
㗒 ai4
㗕 gou4
㗖 dan4
㗗 bai3
㗘 bo2 fu4
㗙 na4
㗚 li4
㗛 xiao4
㗜 xiu4
㗢 dong4
㗣 ti4
㗤 cu4
㗥 kuo4
㗦 lao2
㗧 zhi4
㗨 ai3
㗩 xi1
㗫 qie4
㗰 chu4 cong2
㗱 ji2
㗲 huo4 xi4
㗳 ta3
㗴 yan2
㗵 xu4
㗷 sai3
㗼 ye4
㗽 xiang3
㗿 xia4
㘀 zuo4
㘁 yi4
㘂 ci2
㘅 xian2
㘆 tai2
㘇 rong2
㘈 yi1
㘉 zhi4
㘊 yi4
㘋 xian2
㘌 ju4
㘍 ji2 qi4
㘎 han3 han4
㘐 pao4 peng3
㘑 li4
㘓 lan2
㘔 can3 sai3
㘕 han3 lan2
㘖 yan2
㘙 yan2 yan3
㘚 han3
㘜 chi3 chou2 chu4
㘝 nian3 nie4
㘞 huo4
㘠 bi4 mi4
㘡 xia2
㘢 weng3
㘣 xuan2 yuan2
㘥 you2
㘦 qin2
㘧 xu4
㘨 nei4
㘩 bi4
㘪 hao4
㘫 jing3
㘬 ao4
㘭 ao4
㘲 ju2
㘴 zuo4
㘵 bu4
㘶 jie2
㘷 ai4
㘸 zang4
㘹 ci2
㘺 fa2
㘿 nie4
㙀 liu4
㙁 mang3 mei2 mei4 mu4 na4
㙂 dui4
㙄 bi4
㙅 bao3
㙇 chu4
㙈 han2 xia4
㙉 tian3
㙊 chang2 zhang4
㙏 fu4
㙐 duo3
㙑 yu3
㙒 ye3
㙓 kui2
㙔 han2
㙕 kuai4
㙗 kuai4
㙙 long3
㙛 bu3
㙜 chi2 tai2
㙝 xie2
㙞 nie4
㙟 lang3
㙠 yi4
㙢 man2 men2
㙣 zhang4
㙤 xia4
㙥 gun3
㙨 ji4 qi2
㙩 liao2
㙪 ye4 yi4
㙫 ji2
㙬 yin2
㙮 da1 da5
㙯 yi4
㙰 xie4
㙱 hao4
㙲 yong3
㙳 han3 he2 kan3
㙴 chan4 zhan4
㙵 tai2
㙶 tang2
㙷 zhi2
㙸 bao4 bo2 pu2
㙹 meng2
㙺 gui4 kui2
㙻 chan2 qie4 zan4
㙼 lei3
㙾 xi4 xue2
㚁 qiao2 qiao4 qu4
㚂 rang2
㚃 yun2 yun4
㚅 long2
㚆 fu4
㚉 gu3
㚌 hua4 huo3
㚍 guo2 kui3 kui4
㚏 gao3
㚐 tao4
㚒 shan3
㚓 lai2 lai3
㚔 nie4
㚕 fu2
㚖 gao3
㚗 qie2 xie2
㚘 ban4
㚛 xi4
㚜 xu4 yu4
㚝 kui2
㚞 meng3 shen3 ying4 yun4
㚟 chuo4
㚡 ji3
㚢 nu2
㚣 xiao2
㚤 yi4
㚥 yu2
㚦 yi2
㚧 yan3
㚩 ran3
㚪 hao4
㚫 sha4 zha4
㚭 you2
㚯 xin2 xun2
㚰 bi3
㚲 dian3 shan4
㚴 bu4
㚶 si4
㚷 er3 nai3
㚹 mao3
㚺 yun4
㚽 qiao3
㚿 pao2
㛂 nuo3
㛃 jie2
㛅 er4
㛆 duo3
㛊 duo3
㛍 qie4
㛏 ou4 qiu2
㛐 sou3 xuan2
㛑 can4
㛒 dou4
㛔 peng2
㛕 yi4
㛗 zuo4
㛘 po4
㛙 qie4 qin2 shen3 shen4
㛚 tong3
㛛 xin4 zhen4
㛜 you2
㛝 bei4 beng4
㛞 long4
㛥 ta4
㛦 lan3
㛧 man3
㛨 qiang3
㛩 zhou2
㛪 yan4 yuan2
㛬 lu4
㛮 sao3
㛯 mian3
㛱 rui4 wei3
㛲 fa4
㛳 cha4 yi4
㛴 nao3
㛶 chou2 tan2 tan4
㛸 shu4
㛹 pian2
㛻 kui3
㛼 sha4
㛾 xian2
㛿 zhi4
㜃 lian4 liao2 mang2
㜄 xun2
㜅 xu4
㜆 mi4
㜇 hui4 ye4
㜈 mu4
㜊 pang4 zhan3
㜋 yi4
㜌 gou4
㜍 tang2
㜎 qi2 xi4
㜏 yun2
㜐 shu4
㜑 fu2 po2
㜒 yi4
㜓 da2
㜕 lian2
㜖 cao2
㜗 can3 chu2 xuan4
㜘 ju4
㜙 lu4
㜚 su4
㜛 nen4 ruan3
㜜 ao4
㜝 an3 an4
㜞 qian4
㜣 ran2
㜤 shen3
㜥 mai2 mo2
㜦 han4 nie4 si4 xie2 xin2
㜧 yue4
㜨 er2 nai2
㜩 ao4 bie2
㜪 xian3
㜫 ma4 mei2 mei3
㜮 lan4
㜰 yue4
㜱 dong4 zhi4
㜲 weng3 ying2
㜳 huai2
㜴 meng4
㜵 niao3
㜶 wan3
㜷 mi2 nai3 xian3
㜸 nie4
㜹 qu2
㜺 zan4
㜻 lian4
㜼 zhi2 zhi4
㜽 zi3
㜾 hai2
㜿 xu4
㝀 hao4
㝁 xun2
㝂 zhi4
㝃 fan4 mian3 wan3
㝄 chun2 qi4 run4
㝅 gou4
㝇 chun2
㝈 luan2
㝉 zhu4
㝊 shou3
㝋 liao2 liao3 liu2
㝌 jie2 jiu4 zhou4
㝍 xie3
㝎 ding4
㝏 jie4
㝐 rong2
㝑 mang2 pang2
㝓 ge2 ke4
㝔 yao4
㝕 ning2
㝖 yi2 yin2
㝗 lang2
㝘 yong2
㝙 yin2
㝛 su4
㝝 lin2
㝞 ya4
㝟 mao2 mao4 wu3
㝠 ming2
㝡 zui4
㝢 yu3
㝣 ye4 yi4
㝤 gou4
㝥 mi3
㝦 jun4 ya2
㝧 wen3
㝪 dian4 ding3
㝫 long2
㝭 xing3
㝮 cui4
㝯 qiao2
㝰 mian2
㝱 meng4
㝲 qin3
㝴 wan2
㝵 de2 ai4
㝶 ai4 de2
㝸 bian4
㝹 nou2
㝺 lian2 lin2
㝻 jin3
㝽 chui2 shui3 zhui3
㝾 zuo3
㝿 bo2 bo3 fu4 qian4
㞁 yao4
㞂 tui3
㞃 ji2
㞅 guo3
㞆 ji3
㞇 wei3
㞊 xu4
㞋 nian3
㞌 yun4
㞎 ba3 fu2 pa2
㞏 zhe2
㞐 ju1
㞑 wei3
㞒 xi4 xie4
㞓 qi3 qi4
㞔 yi2
㞕 xie4
㞖 ci4
㞗 qiu2
㞘 tun2
㞙 niao4
㞚 qi4 zha3
㞛 ji3
㞟 dian4
㞠 lao2 liao2
㞡 zhan3
㞤 yin2
㞥 cen2
㞦 ji3
㞧 hui4
㞨 zai3 zi3
㞩 lan2
㞪 nao2
㞫 ju4 zou3
㞬 qin4
㞭 dai4
㞯 jie2
㞰 xu3
㞲 yong4
㞳 dou3
㞴 chi2
㞶 min3
㞷 huang2
㞸 sui4
㞹 ke3
㞺 zu2
㞻 hao4
㞼 cheng2 sheng4 zhe2
㞽 xue4
㞾 ni2 yi4
㞿 chi4 qi2
㟀 lian2
㟁 an4
㟂 chi3 mu3
㟄 xiang2
㟅 yang2
㟆 hua2
㟇 cuo2 cuo3
㟈 qiu2
㟉 lao2
㟊 fu2
㟋 dui4
㟌 mang2
㟍 lang2
㟎 tuo3
㟏 han2
㟐 mang3
㟑 bo2
㟓 qi2
㟔 han2
㟖 long4
㟘 tiao2
㟙 lao3 ze2 zhai2
㟚 qi2
㟛 zan4
㟜 mi2
㟝 pei2 pou3
㟞 zhan4
㟟 xiang4
㟠 gang3
㟢 qi2
㟤 lu4
㟦 yun4
㟧 e4 nie4 xun4
㟨 quan2
㟩 min2 min3 wen3
㟪 wei3
㟫 quan2
㟬 shu3 sou3
㟭 min2
㟰 ming3
㟱 yao3
㟲 jue2 yuan2
㟳 li4
㟴 kuai4 kui3 wei3
㟵 gang3
㟶 yuan2
㟷 da5
㟹 lao2
㟺 lou2
㟻 qian4
㟼 ao2
㟽 biao3
㟿 mang2 mang3
㠀 dao3
㠂 ao2
㠄 xi2
㠅 fu2 fu4
㠇 jiu4
㠈 run4
㠉 tong2
㠊 qu1
㠋 e4
㠍 ji2 jie2 qi4
㠎 ji2 qi4
㠏 hua2
㠐 jiao4
㠑 zui4
㠒 biao3
㠓 meng2
㠔 bai4
㠕 wei3
㠖 ji4 yi3
㠗 ao4 wo4
㠘 yu3
㠙 hao2
㠚 dui4 zhuo2
㠛 wo4
㠜 ni4
㠝 cuan2
㠟 li2
㠠 lu2
㠡 niao3
㠢 hua4 huai2 huan4 mo4
㠣 lai4 li4
㠥 lv4
㠧 mi2 mi3
㠨 yu4
㠪 ju4
㠭 zhan3 zhan4
㠯 yi3
㠱 ji4 qi3
㠲 bi3
㠴 ren4
㠶 fan2
㠷 ge2
㠸 ku4
㠹 jie4
㠺 miao2
㠽 tong2
㠿 ci3
㡀 bi4
㡁 kai3 kua4
㡂 li4
㡄 sun3 xun2
㡅 nuo3
㡇 ji2 zhe2
㡈 men2 wen4
㡉 xian2 yan2
㡊 qia4 qian3
㡋 e4 ye2
㡌 mao4 mei4
㡏 tou2
㡑 qiao3
㡔 wu4
㡖 chuang2
㡗 ti2
㡘 lian2
㡙 bi4 pi2
㡛 mang2
㡜 xue3
㡝 feng4 fu2
㡞 lei3 lou2 lv3
㡠 zheng4
㡡 chu2
㡢 man4
㡣 long2
㡥 yin3
㡧 zheng4
㡨 qian1
㡩 luan2
㡪 nie2
㡫 yi4
㡭 ji4 kui2
㡮 ji2
㡯 zhai2
㡰 yu3
㡱 jiu3
㡲 huan2
㡳 di3 zhe2 zhi3
㡵 ling2
㡶 ji4 zhi3
㡷 ben3
㡸 zha3 zha4
㡹 ci4
㡺 dan4
㡻 liao4
㡼 yi4
㡽 zhao4
㡾 xian4
㡿 chi4
㢀 ci4 zi4
㢁 chi3
㢂 yan3
㢃 lang2
㢄 dou4
㢅 long4
㢆 chan2
㢈 tui2
㢉 cha2
㢊 ai3
㢋 chi3
㢍 ying2 ying3
㢎 cha4 ze2 zhai2 zhe2
㢏 tou2
㢑 tui2
㢒 cha2
㢓 yao3 zhang4
㢔 zong3
㢗 qiao4
㢘 lian2
㢙 qin2
㢚 lu3
㢛 yan4
㢞 yi4
㢟 chan3
㢠 jiong3 jun4
㢡 jiang3
㢣 jing4 qing2
㢥 dong4
㢧 juan4
㢨 han4
㢩 di4
㢬 hong2
㢮 chi2
㢯 min2
㢰 bi4 huan2
㢲 xun4
㢳 lu2 lv4
㢵 she4 xie2
㢶 bi4
㢸 bi4
㢺 xian2
㢻 wei3
㢼 bie4
㢽 er3
㢾 juan4
㣀 zhen4
㣁 bei4
㣂 yi4
㣃 yu3 yu4
㣄 qu2
㣅 zan4
㣆 mi2 pei4
㣇 ni3 yi4
㣈 si4
㣌 shan4
㣍 tai2
㣎 mu4
㣏 jing4
㣐 bian4
㣑 rong2
㣒 ceng4
㣓 can4
㣙 di2
㣚 tong2 tong3
㣛 ta4
㣜 xing2
㣞 duo2 duo4
㣟 xi4
㣠 tong2
㣢 ti2
㣣 shan3 shan4
㣤 jian4
㣥 zhi4
㣧 yin4 yong3
㣪 huan3 kuo4
㣫 zhong3
㣬 qi4
㣯 xie4
㣰 xie4
㣱 ze2 zuo4
㣲 wei2
㣵 ta4
㣶 zhan1
㣷 ning4
㣻 yi4
㣼 ren3
㣽 shu4
㣾 cha4
㣿 zhuo2
㤁 mian3 tian3
㤂 ji2
㤃 fang2
㤄 pei4
㤅 ai4
㤆 fan4
㤇 ao3 fo2 wu4
㤈 qin4
㤉 qia4 ya2
㤊 xiao4 yao2
㤍 qiao3
㤏 tong2
㤑 you4
㤓 ben4
㤔 fu2 fu4
㤕 chu4
㤖 zhu4
㤘 chu4 cu4 zhou4
㤚 hang2
㤛 nin2 ren4
㤜 jue2 yu4
㤞 cha4
㤟 kong3 tou4
㤠 lie4
㤡 li4
㤢 xu4 yu4
㤤 yu2 yu3
㤥 hai4
㤦 li4
㤧 hou2 hou4
㤨 gong3 qiong2
㤩 ke4
㤪 yuan4
㤫 de2
㤬 hui4 kui4
㤮 kuang2
㤯 jiong3 jun4
㤰 zan3 zuo4
㤱 fu4
㤲 qie4 qu4
㤳 bei3
㤴 xi2
㤵 ci2
㤶 pang2
㤸 xi4
㤹 qiu2
㤺 huang3
㤽 chou2
㤾 san4
㥀 de2
㥁 de2 zhi2 zhou4
㥂 te4
㥃 men4
㥄 ling2
㥅 shou4
㥆 dian4 tui4
㥇 can2 can4
㥈 die2
㥉 che4 chi4
㥊 peng2
㥌 ju2
㥍 ji4
㥎 lai2 li2
㥏 tian3
㥐 yuan4
㥒 cai3
㥓 qi3
㥔 yu2 yu4
㥕 lian2
㥚 yu2
㥛 ji2 ke4 su4
㥜 wei4
㥝 mi3 mian3
㥞 cui4 qian4 sui4
㥟 xie2
㥠 xu3
㥡 xi4
㥢 qiu2
㥣 hui4
㥥 yu2
㥦 qie4 xia2 xian3
㥧 shun4
㥨 chui2 shui4 wei3
㥩 duo3
㥪 lou2
㥬 pang2
㥭 tai4
㥮 zhou4
㥯 yin3
㥱 fei3
㥲 shen4 yin2
㥳 yuan2
㥴 yi2
㥵 hun4
㥶 se4
㥷 ye4 yi4
㥸 min3
㥹 fen3
㥺 he2 he4
㥼 yin3
㥽 ce4 ze2
㥾 ni4
㥿 ao4
㦀 feng2
㦁 lian2
㦂 chang2 tang4
㦃 chan3
㦄 ma2 mi4
㦅 di4
㦇 lu4
㦉 yi4
㦊 hua2
㦌 tui4 xu4
㦍 e4
㦎 hua4
㦏 sun3 xuan4
㦐 ni4
㦑 lian3 xian4
㦒 li2
㦓 xian4
㦔 yan4
㦕 long2
㦖 men4
㦗 jian4 jin4
㦚 bian3
㦛 yu2 yu3
㦜 huo4 xue4
㦝 miao3
㦞 chou2
㦟 hai4 mai2
㦡 le4
㦢 jie2 qi4
㦣 wei4
㦤 yi4
㦥 huan2 xian3
㦦 he4
㦧 can3
㦨 lan2 lan4
㦩 yin3
㦪 xie4
㦬 luo3
㦭 ling2
㦮 qian2
㦯 huo4
㦱 wo3
㦴 ge2 qia4
㦶 die2
㦷 yong3
㦸 ji3
㦹 ang4 yang2 ying3
㦺 ru3 ru4
㦻 xi2 zhe2
㦼 shuang4
㦽 xu4 yu4
㦾 yi2
㦿 hu4
㧀 ji2
㧁 qu4
㧂 tian2
㧄 qian3 qiu2
㧅 mu4
㧇 mao3
㧈 yin3 yin4
㧉 gai4 kui4
㧊 ba2
㧋 xian3 xuan3
㧌 mao4
㧍 fang3
㧎 ya2
㧐 song3
㧑 wei2 wei3
㧒 xue2 yu4 yue4
㧔 guai4
㧕 jiu4 liu3 yu2
㧖 e4
㧗 zi3
㧘 cui4 nao3 zi4
㧙 bi4
㧚 wa3
㧜 lie4
㧟 kuai3
㧡 hai4
㧣 zhu4
㧤 chong4
㧥 xian3
㧦 xuan4
㧨 qiu2
㧩 pei4
㧪 gui3
㧫 er2
㧬 gong3
㧭 qiong2
㧯 lao3
㧰 li4
㧱 chen4 na2 ni4 tian4
㧲 san3
㧳 bo2 zhuo4
㧴 wo3
㧵 pou2 pou3
㧷 duo4 tun4
㧹 te4
㧺 ta4
㧻 zhi3 zhuo2 zu2
㧼 biao4
㧽 gu4 hu2
㨀 bing3
㨁 zhi2 zhi4
㨂 dong3
㨃 cheng2 dui3
㨄 zhao4
㨅 nei4 rui4
㨆 lin3
㨇 po2
㨈 ji3
㨉 min3
㨊 wei3
㨋 che3 le4 zhen4
㨌 gou4 ru2 ru3
㨎 ru2 ruan2
㨐 bu3 pei2
㨒 kui2 wei3 xie2
㨓 lao2 liao2
㨔 han4
㨕 ying2
㨖 zhi4
㨗 jie2
㨘 xing3
㨙 xie2
㨚 xun2
㨛 shan3
㨜 qian2
㨝 xie4
㨞 su4
㨟 hai2
㨠 mi4
㨡 hun2
㨤 hui4 kuai3 wai4
㨥 na4
㨦 song3
㨧 ben4
㨨 liu4
㨩 jie2
㨪 huang4
㨫 lan3
㨭 hu4
㨮 dou1
㨯 huo4 kuo4
㨰 ge2 gun3 hun4 huo4 jie2
㨱 yao2
㨲 ce4
㨳 gui3
㨴 jian4
㨵 jian3
㨶 chou2 dao3 zhou3 zhou4
㨷 jin4
㨸 ma4
㨹 hui4
㨺 men2 mi4 mian3
㨻 can2
㨼 lve4
㨽 pi3 pi4 qiao3
㨾 yang4
㨿 ju4
㩀 ju4
㩁 que4
㩄 shai1
㩆 jiu4
㩇 hua4 huo4
㩈 xian4 yun3
㩉 xie2
㩋 su4
㩌 fei4
㩍 ce4
㩎 ye4
㩒 qin2
㩓 hui3
㩔 tun2
㩖 qiang2 tiao2
㩗 xi2 xie2
㩘 yi3
㩚 meng2
㩛 tuan2
㩜 lan3
㩝 hao2
㩞 ci4
㩟 zhai4
㩠 piao3
㩡 luo3
㩢 mi2 mie4
㩦 xie2
㩧 bo2
㩨 hui4
㩩 qi3 qing3
㩪 xie2 xin4 ye2
㩭 bo2 jiao3 xiao4
㩮 qian2 xian2
㩯 ban3 pan2 po2
㩰 jiao3 qiao2 xiu3
㩱 jue2
㩲 kun3 quan2
㩳 song3
㩴 ju2
㩵 e4
㩶 nie4 ning3
㩸 die2
㩹 die2 zha2
㩻 gui3
㩽 qi2
㩾 chui2
㪀 yu2
㪁 qin2
㪃 ke3 ke4
㪄 fu2
㪆 di3
㪇 xian4
㪈 gui4
㪉 he2
㪊 qun2
㪋 han4
㪌 tong3 yu2 yu3
㪍 bo2
㪎 shan3
㪏 bi3
㪐 lu4
㪑 ye4
㪒 ni2
㪓 chuai2
㪔 san4 tan2
㪕 diao4
㪖 lu4
㪗 tou3
㪘 lian3
㪙 ke3 ke4 kuo4
㪚 san4
㪛 zhen3
㪜 chuai3
㪝 lian4
㪞 mao4
㪠 qian4
㪡 ke3
㪢 shao3
㪣 qiao4
㪤 bi4
㪦 yin4
㪨 shan4
㪩 su4
㪪 sa4 xi3
㪫 rui4
㪬 zhuo2
㪭 lu2
㪮 ling2
㪯 cha2 ju3 qu2
㪱 huan4
㪴 jia2
㪵 ban4
㪶 hu2
㪷 dou3
㪹 lou3 lu4
㪻 juan4
㪼 ke3
㪽 suo3 suo4
㪾 ge2 luo4
㪿 zhe2
㫀 ding3
㫁 duan4
㫂 zhu4
㫃 yan3
㫄 pang2
㫅 cha2 qi2 shi2
㫊 yi3
㫍 you2
㫎 gun3 kuai4
㫏 yao3
㫐 yao3
㫑 shi2 zhi3
㫒 gong3
㫓 qi3 qi4
㫔 gen4
㫗 hou4
㫘 mi4 mian3
㫙 fu2
㫚 hu1
㫛 guang4 kuang2 kuang4 mu3
㫜 dan4 tan3
㫟 yan2
㫢 qu4
㫤 chang3 zhao4
㫥 ming3
㫧 bao4
㫫 xian3
㫯 mao4
㫰 lang3
㫱 nan3
㫲 pei4
㫳 chen2
㫶 cou3 zhou3
㫸 qie4
㫹 dai4 shu4 yu2
㫻 kun4
㫼 die2 zhe2 zhi4
㫽 lu4
㬂 yu2
㬃 tai2
㬄 chan4
㬅 man4
㬆 mian2 mian4 min3
㬇 huan4
㬉 nuan3 ruo4
㬊 huan3
㬋 hou2
㬌 jing4
㬍 bo2
㬎 xian3
㬏 li4
㬐 jin3 jin4 xing2 ying3
㬒 mang3 mao4
㬓 piao4
㬔 hao2
㬕 yang2
㬗 xian4
㬘 su4
㬙 wei3
㬚 che4
㬜 jin4
㬝 ceng2
㬞 he4
㬠 shai4
㬡 ling2
㬣 dui4
㬥 pu4
㬦 yue4
㬧 bo2
㬩 hui4
㬪 die2 zhi4
㬫 yan4
㬬 ju4
㬭 jiao4 shan3 yao3
㬮 kuai4 nan4
㬯 lie4
㬰 yu2
㬱 ti4
㬳 wu3
㬴 hong3
㬵 xiao2
㬶 hao4
㬻 huang3
㬼 fu4
㬿 dun4
㭁 reng2
㭂 jiao3
㭄 xin4
㭇 yuan4
㭈 jue2 kuai4
㭉 hua2
㭋 bang4
㭌 mou2 yu2
㭏 wei3
㭑 mei4
㭒 si4
㭓 bian4
㭔 lu2
㭘 he2
㭙 she2 zhe2
㭚 lv3
㭛 pai4
㭜 rong2
㭝 qiu2
㭞 lie4
㭟 gong3
㭠 xian3
㭡 xi4 xin4
㭤 niao3
㭨 xie2 ye2
㭩 lei4 ling2
㭫 cuan2 cuo2 zhen4
㭬 zhuo2
㭭 fei4
㭮 zuo4
㭯 die2 na4 zhe2
㭰 ji4 jue2 zui3
㭱 he2 xia2
㭲 ji2
㭸 tu2
㭹 xian2
㭺 yan3
㭻 tang2
㭼 ta4
㭽 di3
㭾 jue2 yue4
㭿 ang2
㮀 han2
㮁 yao2
㮂 ju2
㮃 rui2
㮄 bang3 bi4 peng2
㮆 nie4
㮇 tian4
㮈 nai4
㮋 you3 yu4
㮌 mian2 min3
㮏 nai4
㮐 xing3
㮑 qi4
㮓 gen4
㮔 tong2
㮕 er2 ruan3
㮖 jia2
㮗 qin2
㮘 mao4
㮙 e4
㮚 li4
㮛 chi2
㮝 he2 luo4
㮞 jie2 ni2 ya2
㮟 ji2 nian3 nv4 peng4 rou4
㮡 guan4
㮢 hou2
㮣 gai4 ze2
㮥 fen4
㮦 se4 suo3
㮨 ji2 ji4
㮪 qiong2
㮫 he2
㮭 xian2
㮮 jie2
㮯 hua2 hun2 kuan3
㮰 bi2 pi2
㮳 zhen4
㮶 shi4 shuo4
㮸 song4
㮹 zhi3
㮺 ben3
㮾 lang3
㮿 bi4
㯀 xian3 xuan4
㯁 bang4
㯂 dai4
㯅 pi2
㯆 chan3
㯇 bi4
㯈 su4
㯉 huo4
㯊 hen2
㯋 ying3
㯌 chuan2
㯍 jiang3
㯎 nen4
㯏 gu3
㯐 fang3 tuo3
㯓 ta4
㯔 cui4
㯖 de2
㯗 ran3 shun4 xian2 xian4
㯘 kuan3
㯙 che4
㯚 da2
㯛 hu2 huo4
㯜 cui4
㯝 lu4
㯞 juan4 yue4
㯟 lu4
㯠 qian4 xian4 xun2
㯡 pao4
㯢 zhen4
㯤 li4
㯥 cao2 zha2
㯦 qi2
